"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"A1","MQ-7","MQ-7:XDCR_MQ-7","","1","","",""
"C1,C3,C4,C5,C8","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","5","","",""
"C2,C7,C9,C10","0u1F","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","4","","",""
"C6","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1","","",""
"C11,C12","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","2","","",""
"D1","1N5819HW-7-F","Downloaded_from_internet:SOD3715X145N","","1","","",""
"D2,D3,D4","LESD5D5.0CT1G","Downloaded_from_internet:TVS_LESD5D5.0CT1G","","3","","",""
"D5","LED","LED_SMD:LED_0805_2012Metric","~","1","","",""
"D6","SK6812","Downloaded_from_internet:LED_SK6812","","1","","",""
"D7,D8,D10","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","3","","",""
"D9","SFH_4545","SFH_4545:DIO_SFH_4545","","1","","",""
"J1","TYPE-C-31-M-12","Downloaded_from_internet:HRO_TYPE-C-31-M-12","","1","","",""
"J2","Conn_01x08_Pin","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","1","","",""
"LS1","CPI-3116-3-100T","CPI-3116-3-100T:XDCR_CPI-3116-3-100T","","1","","",""
"R1,R2","5K1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","2","","",""
"R3","5k1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"R4,R11,R12,R13","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","4","","",""
"R5,R6,R7,R8,R9","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","5","","",""
"R10","220","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","1","","",""
"S1,S2","PTS810SJK250SMTRLFS","Downloaded_from_internet:PTS810SJG250SMTRLFS","","2","","",""
"U1","AMS1117-3.3","Downloaded_from_internet:SOT229P700X180-4N","","1","","",""
"U2","ESP32-S3-WROOM-1U-N16R8","Downloaded_from_internet:XCVR_ESP32-S3-WROOM-1U-N16R8","","1","","",""
"U3","LM393AD","LM393AD:SOIC127P599X175-8N","","1","","",""
"U4","BC547B","BC547B:TO127P254X732-3","","1","","",""
"VR1","3362P-1-503LF","3362P-1-503LF:TRIM_3362P-1-503LF","","1","","",""
